,predicted,time,stock_code
0,中性,2023-04-14 09:00:00+08:00,600031.SH
1,正面,2023-04-17 09:00:00+08:00,600887.SH
2,中性,2023-04-17 09:00:00+08:00,600570.SH
3,正面,2023-04-17 09:00:00+08:00,600036.SH
4,正面,2023-04-18 09:00:00+08:00,601668.SH
5,正面,2023-04-18 09:00:00+08:00,601668.SH
6,正面,2023-04-18 09:00:00+08:00,601668.SH
7,正面,2023-04-18 09:00:00+08:00,601668.SH
8,中性,2023-04-18 09:00:00+08:00,600887.SH
9,正面,2023-04-18 09:00:00+08:00,601668.SH
10,正面,2023-04-18 09:00:00+08:00,601668.SH
11,正面,2023-04-18 09:00:00+08:00,601668.SH
12,正面,2023-04-18 09:00:00+08:00,601668.SH
13,正面,2023-04-18 09:00:00+08:00,601668.SH
14,正面,2023-04-18 09:00:00+08:00,601668.SH
15,正面,2023-04-18 09:00:00+08:00,601668.SH
16,正面,2023-04-18 09:00:00+08:00,601668.SH
17,正面,2023-04-18 09:00:00+08:00,601668.SH
18,正面,2023-04-18 09:00:00+08:00,601668.SH
19,正面,2023-04-18 09:00:00+08:00,601668.SH
20,正面,2023-04-18 09:00:00+08:00,601668.SH
21,正面,2023-04-18 09:00:00+08:00,601668.SH
22,正面,2023-04-18 09:00:00+08:00,601668.SH
23,正面,2023-04-18 09:00:00+08:00,601668.SH
24,正面,2023-04-18 09:00:00+08:00,601668.SH
25,正面,2023-04-18 09:00:00+08:00,601668.SH
26,正面,2023-04-18 09:00:00+08:00,601668.SH
27,正面,2023-04-18 09:00:00+08:00,601668.SH
28,正面,2023-04-18 09:00:00+08:00,601668.SH
29,正面,2023-04-18 09:00:00+08:00,601668.SH
30,正面,2023-04-18 09:00:00+08:00,601668.SH
31,正面,2023-04-19 09:00:00+08:00,600050.SH
32,中性,2023-04-19 09:00:00+08:00,601390.SH
33,正面,2023-04-19 09:00:00+08:00,600050.SH
34,中性,2023-04-19 09:00:00+08:00,600887.SH
35,正面,2023-04-19 09:00:00+08:00,600050.SH
36,中性,2023-04-20 09:00:00+08:00,600346.SH
37,中性,2023-04-20 09:00:00+08:00,600887.SH
38,正面,2023-04-21 09:00:00+08:00,600346.SH
39,正面,2023-04-21 09:00:00+08:00,600050.SH
40,中性,2023-04-25 09:00:00+08:00,600036.SH
41,正面,2023-04-25 09:00:00+08:00,600570.SH
42,中性,2023-04-25 09:00:00+08:00,601390.SH
43,负面,2023-04-25 09:00:00+08:00,601390.SH
44,中性,2023-04-25 09:00:00+08:00,603160.SH
45,中性,2023-04-25 09:00:00+08:00,600036.SH
46,中性,2023-04-25 09:00:00+08:00,600036.SH
47,正面,2023-04-25 09:00:00+08:00,600570.SH
48,中性,2023-04-25 09:00:00+08:00,601390.SH
49,正面,2023-04-25 09:00:00+08:00,600570.SH
50,中性,2023-04-25 09:00:00+08:00,600036.SH
51,正面,2023-04-25 09:00:00+08:00,600031.SH
52,正面,2023-04-25 09:00:00+08:00,600104.SH
53,中性,2023-04-25 09:00:00+08:00,600887.SH
54,中性,2023-04-25 09:00:00+08:00,600887.SH
55,正面,2023-04-25 09:00:00+08:00,600031.SH
56,中性,2023-04-25 09:00:00+08:00,600036.SH
57,中性,2023-04-26 09:00:00+08:00,600031.SH
58,正面,2023-04-26 09:00:00+08:00,600050.SH
59,中性,2023-04-26 09:00:00+08:00,600031.SH
60,中性,2023-04-27 09:00:00+08:00,603160.SH
61,负面,2023-04-27 09:00:00+08:00,603160.SH
62,正面,2023-04-27 09:00:00+08:00,600036.SH
63,负面,2023-04-27 09:00:00+08:00,603160.SH
64,中性,2023-04-27 09:00:00+08:00,603160.SH
65,中性,2023-04-27 09:00:00+08:00,603160.SH
66,正面,2023-04-27 09:00:00+08:00,600036.SH
67,中性,2023-04-27 09:00:00+08:00,603160.SH
68,中性,2023-04-27 09:00:00+08:00,603160.SH
69,中性,2023-04-27 09:00:00+08:00,603160.SH
70,极度负面,2023-04-27 09:00:00+08:00,603160.SH
71,极度负面,2023-04-27 09:00:00+08:00,603160.SH
72,负面,2023-04-27 09:00:00+08:00,603160.SH
73,中性,2023-04-27 09:00:00+08:00,603160.SH
74,负面,2023-04-27 09:00:00+08:00,603160.SH
75,中性,2023-04-27 09:00:00+08:00,603160.SH
76,中性,2023-04-27 09:00:00+08:00,603160.SH
77,中性,2023-04-27 09:00:00+08:00,603160.SH
78,中性,2023-04-27 09:00:00+08:00,603160.SH
79,负面,2023-04-27 09:00:00+08:00,603160.SH
80,中性,2023-04-27 09:00:00+08:00,603160.SH
81,中性,2023-04-27 09:00:00+08:00,603160.SH
82,中性,2023-04-27 09:00:00+08:00,603160.SH
