,predicted,time,stock_code
0,极度负面,2023-04-14 09:00:00+08:00,600031.SH
1,极度正面,2023-04-17 09:00:00+08:00,600036.SH
2,极度负面,2023-04-17 09:00:00+08:00,600887.SH
3,极度正面,2023-04-17 09:00:00+08:00,600570.SH
4,中性,2023-04-18 09:00:00+08:00,601668.SH
5,极度正面,2023-04-18 09:00:00+08:00,601668.SH
6,极度正面,2023-04-18 09:00:00+08:00,601668.SH
7,极度负面,2023-04-18 09:00:00+08:00,601668.SH
8,极度负面,2023-04-18 09:00:00+08:00,601668.SH
9,极度正面,2023-04-18 09:00:00+08:00,601668.SH
10,极度负面,2023-04-18 09:00:00+08:00,601668.SH
11,中性,2023-04-18 09:00:00+08:00,601668.SH
12,极度正面,2023-04-18 09:00:00+08:00,600887.SH
13,中性,2023-04-18 09:00:00+08:00,601668.SH
14,极度正面,2023-04-18 09:00:00+08:00,601668.SH
15,极度正面,2023-04-18 09:00:00+08:00,601668.SH
16,极度正面,2023-04-18 09:00:00+08:00,601668.SH
17,极度正面,2023-04-18 09:00:00+08:00,601668.SH
18,极度负面,2023-04-18 09:00:00+08:00,601668.SH
19,极度负面,2023-04-18 09:00:00+08:00,601668.SH
20,中性,2023-04-18 09:00:00+08:00,601668.SH
21,中性,2023-04-18 09:00:00+08:00,601668.SH
22,极度正面,2023-04-18 09:00:00+08:00,601668.SH
23,极度正面,2023-04-18 09:00:00+08:00,601668.SH
24,正面,2023-04-18 09:00:00+08:00,601668.SH
25,极度正面,2023-04-18 09:00:00+08:00,601668.SH
26,极度正面,2023-04-18 09:00:00+08:00,601668.SH
27,正面,2023-04-18 09:00:00+08:00,601668.SH
28,极度正面,2023-04-18 09:00:00+08:00,601668.SH
29,中性,2023-04-18 09:00:00+08:00,601668.SH
30,极度正面,2023-04-18 09:00:00+08:00,601668.SH
31,极度负面,2023-04-19 09:00:00+08:00,601390.SH
32,正面,2023-04-19 09:00:00+08:00,600050.SH
33,正面,2023-04-19 09:00:00+08:00,600050.SH
34,极度正面,2023-04-19 09:00:00+08:00,600050.SH
35,负面,2023-04-19 09:00:00+08:00,600887.SH
36,正面,2023-04-20 09:00:00+08:00,600887.SH
37,极度正面,2023-04-20 09:00:00+08:00,600346.SH
38,中性,2023-04-21 09:00:00+08:00,600346.SH
39,中性,2023-04-21 09:00:00+08:00,600050.SH
40,极度正面,2023-04-25 09:00:00+08:00,601390.SH
41,极度正面,2023-04-25 09:00:00+08:00,601390.SH
42,中性,2023-04-25 09:00:00+08:00,600887.SH
43,负面,2023-04-25 09:00:00+08:00,600887.SH
44,极度正面,2023-04-25 09:00:00+08:00,600570.SH
45,极度正面,2023-04-25 09:00:00+08:00,600570.SH
46,中性,2023-04-25 09:00:00+08:00,600036.SH
47,正面,2023-04-25 09:00:00+08:00,600036.SH
48,极度负面,2023-04-25 09:00:00+08:00,600570.SH
49,中性,2023-04-25 09:00:00+08:00,600036.SH
50,极度负面,2023-04-25 09:00:00+08:00,600036.SH
51,极度正面,2023-04-25 09:00:00+08:00,600104.SH
52,极度负面,2023-04-25 09:00:00+08:00,603160.SH
53,中性,2023-04-25 09:00:00+08:00,600031.SH
54,正面,2023-04-25 09:00:00+08:00,600031.SH
55,极度正面,2023-04-25 09:00:00+08:00,601390.SH
56,极度负面,2023-04-25 09:00:00+08:00,600036.SH
57,正面,2023-04-26 09:00:00+08:00,600050.SH
58,极度正面,2023-04-26 09:00:00+08:00,600031.SH
59,极度正面,2023-04-26 09:00:00+08:00,600031.SH
60,极度正面,2023-04-27 09:00:00+08:00,603160.SH
61,负面,2023-04-27 09:00:00+08:00,603160.SH
62,极度正面,2023-04-27 09:00:00+08:00,603160.SH
63,正面,2023-04-27 09:00:00+08:00,600036.SH
64,正面,2023-04-27 09:00:00+08:00,600036.SH
65,极度负面,2023-04-27 09:00:00+08:00,603160.SH
66,正面,2023-04-27 09:00:00+08:00,603160.SH
67,正面,2023-04-27 09:00:00+08:00,603160.SH
68,极度正面,2023-04-27 09:00:00+08:00,603160.SH
69,极度正面,2023-04-27 09:00:00+08:00,603160.SH
70,极度正面,2023-04-27 09:00:00+08:00,603160.SH
71,极度正面,2023-04-27 09:00:00+08:00,603160.SH
72,极度正面,2023-04-27 09:00:00+08:00,603160.SH
73,中性,2023-04-27 09:00:00+08:00,603160.SH
74,中性,2023-04-27 09:00:00+08:00,603160.SH
75,极度正面,2023-04-27 09:00:00+08:00,603160.SH
76,极度负面,2023-04-27 09:00:00+08:00,603160.SH
77,中性,2023-04-27 09:00:00+08:00,603160.SH
78,极度正面,2023-04-27 09:00:00+08:00,603160.SH
