,predicted,time,stock_code
0,中性,2023-04-14 09:00:00+08:00,600031.SH
1,中性,2023-04-17 09:00:00+08:00,600036.SH
2,中性,2023-04-17 09:00:00+08:00,600887.SH
3,中性,2023-04-17 09:00:00+08:00,600570.SH
4,中性,2023-04-18 09:00:00+08:00,601668.SH
5,中性,2023-04-18 09:00:00+08:00,601668.SH
6,中性,2023-04-18 09:00:00+08:00,601668.SH
7,中性,2023-04-18 09:00:00+08:00,601668.SH
8,中性,2023-04-18 09:00:00+08:00,601668.SH
9,中性,2023-04-18 09:00:00+08:00,601668.SH
10,中性,2023-04-18 09:00:00+08:00,601668.SH
11,中性,2023-04-18 09:00:00+08:00,601668.SH
12,中性,2023-04-18 09:00:00+08:00,600887.SH
13,中性,2023-04-18 09:00:00+08:00,601668.SH
14,负面,2023-04-18 09:00:00+08:00,601668.SH
15,负面,2023-04-18 09:00:00+08:00,601668.SH
16,中性,2023-04-18 09:00:00+08:00,601668.SH
17,中性,2023-04-18 09:00:00+08:00,601668.SH
18,中性,2023-04-18 09:00:00+08:00,601668.SH
19,中性,2023-04-18 09:00:00+08:00,601668.SH
20,中性,2023-04-18 09:00:00+08:00,601668.SH
21,中性,2023-04-18 09:00:00+08:00,601668.SH
22,中性,2023-04-18 09:00:00+08:00,601668.SH
23,中性,2023-04-18 09:00:00+08:00,601668.SH
24,中性,2023-04-18 09:00:00+08:00,601668.SH
25,中性,2023-04-18 09:00:00+08:00,601668.SH
26,中性,2023-04-18 09:00:00+08:00,601668.SH
27,中性,2023-04-18 09:00:00+08:00,601668.SH
28,中性,2023-04-18 09:00:00+08:00,601668.SH
29,中性,2023-04-18 09:00:00+08:00,601668.SH
30,中性,2023-04-18 09:00:00+08:00,601668.SH
31,中性,2023-04-19 09:00:00+08:00,601390.SH
32,负面,2023-04-19 09:00:00+08:00,600050.SH
33,中性,2023-04-19 09:00:00+08:00,600050.SH
34,中性,2023-04-19 09:00:00+08:00,600050.SH
35,中性,2023-04-19 09:00:00+08:00,600887.SH
36,中性,2023-04-20 09:00:00+08:00,600887.SH
37,负面,2023-04-20 09:00:00+08:00,600346.SH
38,中性,2023-04-21 09:00:00+08:00,600346.SH
39,中性,2023-04-21 09:00:00+08:00,600050.SH
40,中性,2023-04-25 09:00:00+08:00,601390.SH
41,负面,2023-04-25 09:00:00+08:00,601390.SH
42,中性,2023-04-25 09:00:00+08:00,600887.SH
43,中性,2023-04-25 09:00:00+08:00,600887.SH
44,正面,2023-04-25 09:00:00+08:00,600570.SH
45,中性,2023-04-25 09:00:00+08:00,600570.SH
46,中性,2023-04-25 09:00:00+08:00,600036.SH
47,中性,2023-04-25 09:00:00+08:00,600036.SH
48,中性,2023-04-25 09:00:00+08:00,600570.SH
49,中性,2023-04-25 09:00:00+08:00,600036.SH
