,predicted,time,stock_code
0,负面,2023-04-14 09:00:00+08:00,600031.SH
1,极度正面,2023-04-17 09:00:00+08:00,600036.SH
2,正面,2023-04-17 09:00:00+08:00,600887.SH
3,负面,2023-04-17 09:00:00+08:00,600570.SH
4,正面,2023-04-18 09:00:00+08:00,601668.SH
5,正面,2023-04-18 09:00:00+08:00,601668.SH
6,正面,2023-04-18 09:00:00+08:00,601668.SH
7,正面,2023-04-18 09:00:00+08:00,601668.SH
8,正面,2023-04-18 09:00:00+08:00,601668.SH
9,正面,2023-04-18 09:00:00+08:00,601668.SH
10,正面,2023-04-18 09:00:00+08:00,601668.SH
11,正面,2023-04-18 09:00:00+08:00,601668.SH
12,正面,2023-04-18 09:00:00+08:00,600887.SH
13,正面,2023-04-18 09:00:00+08:00,601668.SH
14,正面,2023-04-18 09:00:00+08:00,601668.SH
15,正面,2023-04-18 09:00:00+08:00,601668.SH
16,正面,2023-04-18 09:00:00+08:00,601668.SH
17,正面,2023-04-18 09:00:00+08:00,601668.SH
18,正面,2023-04-18 09:00:00+08:00,601668.SH
19,正面,2023-04-18 09:00:00+08:00,601668.SH
20,正面,2023-04-18 09:00:00+08:00,601668.SH
21,正面,2023-04-18 09:00:00+08:00,601668.SH
22,正面,2023-04-18 09:00:00+08:00,601668.SH
23,正面,2023-04-18 09:00:00+08:00,601668.SH
24,正面,2023-04-18 09:00:00+08:00,601668.SH
25,正面,2023-04-18 09:00:00+08:00,601668.SH
26,正面,2023-04-18 09:00:00+08:00,601668.SH
27,正面,2023-04-18 09:00:00+08:00,601668.SH
28,正面,2023-04-18 09:00:00+08:00,601668.SH
29,正面,2023-04-18 09:00:00+08:00,601668.SH
30,正面,2023-04-18 09:00:00+08:00,601668.SH
31,极度负面,2023-04-19 09:00:00+08:00,601390.SH
32,极度负面,2023-04-19 09:00:00+08:00,600050.SH
33,极度负面,2023-04-19 09:00:00+08:00,600050.SH
34,极度负面,2023-04-19 09:00:00+08:00,600050.SH
35,负面,2023-04-19 09:00:00+08:00,600887.SH
36,中性,2023-04-20 09:00:00+08:00,600887.SH
37,极度负面,2023-04-20 09:00:00+08:00,600346.SH
38,极度负面,2023-04-21 09:00:00+08:00,600346.SH
39,极度负面,2023-04-21 09:00:00+08:00,600050.SH
40,负面,2023-04-25 09:00:00+08:00,601390.SH
41,负面,2023-04-25 09:00:00+08:00,601390.SH
42,中性,2023-04-25 09:00:00+08:00,600887.SH
43,中性,2023-04-25 09:00:00+08:00,600887.SH
44,负面,2023-04-25 09:00:00+08:00,600570.SH
45,负面,2023-04-25 09:00:00+08:00,600570.SH
46,正面,2023-04-25 09:00:00+08:00,600036.SH
47,正面,2023-04-25 09:00:00+08:00,600036.SH
48,负面,2023-04-25 09:00:00+08:00,600570.SH
49,正面,2023-04-25 09:00:00+08:00,600036.SH
50,正面,2023-04-25 09:00:00+08:00,600036.SH
51,负面,2023-04-25 09:00:00+08:00,600104.SH
52,极度负面,2023-04-25 09:00:00+08:00,603160.SH
53,正面,2023-04-25 09:00:00+08:00,600031.SH
54,正面,2023-04-25 09:00:00+08:00,600031.SH
55,负面,2023-04-25 09:00:00+08:00,601390.SH
56,正面,2023-04-25 09:00:00+08:00,600036.SH
57,极度负面,2023-04-26 09:00:00+08:00,600050.SH
58,负面,2023-04-26 09:00:00+08:00,600031.SH
59,负面,2023-04-26 09:00:00+08:00,600031.SH
60,极度正面,2023-04-27 09:00:00+08:00,603160.SH
61,极度正面,2023-04-27 09:00:00+08:00,603160.SH
62,极度正面,2023-04-27 09:00:00+08:00,603160.SH
63,极度负面,2023-04-27 09:00:00+08:00,600036.SH
64,极度负面,2023-04-27 09:00:00+08:00,600036.SH
65,极度正面,2023-04-27 09:00:00+08:00,603160.SH
66,极度正面,2023-04-27 09:00:00+08:00,603160.SH
67,极度正面,2023-04-27 09:00:00+08:00,603160.SH
68,极度正面,2023-04-27 09:00:00+08:00,603160.SH
69,极度正面,2023-04-27 09:00:00+08:00,603160.SH
70,极度正面,2023-04-27 09:00:00+08:00,603160.SH
71,极度正面,2023-04-27 09:00:00+08:00,603160.SH
72,极度正面,2023-04-27 09:00:00+08:00,603160.SH
73,极度正面,2023-04-27 09:00:00+08:00,603160.SH
74,极度正面,2023-04-27 09:00:00+08:00,603160.SH
75,极度正面,2023-04-27 09:00:00+08:00,603160.SH
76,极度正面,2023-04-27 09:00:00+08:00,603160.SH
77,极度正面,2023-04-27 09:00:00+08:00,603160.SH
78,极度正面,2023-04-27 09:00:00+08:00,603160.SH
79,极度正面,2023-04-27 09:00:00+08:00,603160.SH
80,极度正面,2023-04-27 09:00:00+08:00,603160.SH
81,极度正面,2023-04-27 09:00:00+08:00,603160.SH
82,极度正面,2023-04-27 09:00:00+08:00,603160.SH
83,极度正面,2023-04-27 09:00:00+08:00,603160.SH
84,极度正面,2023-04-27 09:00:00+08:00,603160.SH
85,极度正面,2023-04-27 09:00:00+08:00,603160.SH
86,极度正面,2023-04-27 09:00:00+08:00,603160.SH
87,极度正面,2023-04-27 09:00:00+08:00,603160.SH
88,极度正面,2023-04-27 09:00:00+08:00,603160.SH
89,极度正面,2023-04-27 09:00:00+08:00,603160.SH
90,极度正面,2023-04-28 09:00:00+08:00,600887.SH
91,极度正面,2023-04-28 09:00:00+08:00,600887.SH
92,极度正面,2023-04-28 09:00:00+08:00,600887.SH
93,极度正面,2023-04-28 09:00:00+08:00,600887.SH
94,极度正面,2023-04-28 09:00:00+08:00,600887.SH
95,极度正面,2023-04-28 09:00:00+08:00,600887.SH
96,极度正面,2023-04-28 09:00:00+08:00,600887.SH
97,极度正面,2023-04-28 09:00:00+08:00,600887.SH
