,predicted,time,stock_code
0,极度正面,2023-04-14 09:00:00+08:00,600031.SH
1,极度正面,2023-04-17 09:00:00+08:00,600036.SH
2,极度正面,2023-04-17 09:00:00+08:00,600570.SH
3,正面,2023-04-17 09:00:00+08:00,600887.SH
4,正面,2023-04-18 09:00:00+08:00,601668.SH
5,正面,2023-04-18 09:00:00+08:00,601668.SH
6,正面,2023-04-18 09:00:00+08:00,601668.SH
7,正面,2023-04-18 09:00:00+08:00,601668.SH
8,正面,2023-04-18 09:00:00+08:00,601668.SH
9,正面,2023-04-18 09:00:00+08:00,601668.SH
10,正面,2023-04-18 09:00:00+08:00,601668.SH
11,正面,2023-04-18 09:00:00+08:00,601668.SH
12,正面,2023-04-18 09:00:00+08:00,601668.SH
13,正面,2023-04-18 09:00:00+08:00,601668.SH
14,正面,2023-04-18 09:00:00+08:00,601668.SH
15,正面,2023-04-18 09:00:00+08:00,601668.SH
16,正面,2023-04-18 09:00:00+08:00,601668.SH
17,正面,2023-04-18 09:00:00+08:00,601668.SH
18,中性,2023-04-18 09:00:00+08:00,601668.SH
19,正面,2023-04-18 09:00:00+08:00,601668.SH
20,正面,2023-04-18 09:00:00+08:00,600887.SH
21,正面,2023-04-18 09:00:00+08:00,601668.SH
22,正面,2023-04-18 09:00:00+08:00,601668.SH
23,正面,2023-04-18 09:00:00+08:00,601668.SH
24,正面,2023-04-18 09:00:00+08:00,601668.SH
25,正面,2023-04-18 09:00:00+08:00,601668.SH
26,正面,2023-04-18 09:00:00+08:00,601668.SH
27,正面,2023-04-18 09:00:00+08:00,601668.SH
28,正面,2023-04-18 09:00:00+08:00,601668.SH
29,正面,2023-04-18 09:00:00+08:00,601668.SH
30,正面,2023-04-18 09:00:00+08:00,601668.SH
31,极度正面,2023-04-19 09:00:00+08:00,600050.SH
32,负面,2023-04-19 09:00:00+08:00,600887.SH
33,极度正面,2023-04-19 09:00:00+08:00,600050.SH
34,正面,2023-04-19 09:00:00+08:00,601390.SH
35,极度正面,2023-04-19 09:00:00+08:00,600050.SH
36,正面,2023-04-20 09:00:00+08:00,600887.SH
37,极度正面,2023-04-20 09:00:00+08:00,600346.SH
38,正面,2023-04-21 09:00:00+08:00,600050.SH
39,极度正面,2023-04-21 09:00:00+08:00,600346.SH
40,负面,2023-04-25 09:00:00+08:00,600036.SH
41,极度负面,2023-04-25 09:00:00+08:00,600104.SH
42,中性,2023-04-25 09:00:00+08:00,600036.SH
43,极度正面,2023-04-25 09:00:00+08:00,600031.SH
44,正面,2023-04-25 09:00:00+08:00,601390.SH
