,predicted,time,stock_code
0,极度负面,2023-04-14 09:00:00+08:00,600031.SH
1,中性,2023-04-17 09:00:00+08:00,600036.SH
2,负面,2023-04-17 09:00:00+08:00,600570.SH
3,极度负面,2023-04-17 09:00:00+08:00,600887.SH
4,负面,2023-04-18 09:00:00+08:00,601668.SH
5,负面,2023-04-18 09:00:00+08:00,601668.SH
6,负面,2023-04-18 09:00:00+08:00,601668.SH
7,负面,2023-04-18 09:00:00+08:00,601668.SH
8,负面,2023-04-18 09:00:00+08:00,601668.SH
9,负面,2023-04-18 09:00:00+08:00,601668.SH
10,负面,2023-04-18 09:00:00+08:00,601668.SH
11,负面,2023-04-18 09:00:00+08:00,601668.SH
12,负面,2023-04-18 09:00:00+08:00,601668.SH
13,负面,2023-04-18 09:00:00+08:00,601668.SH
14,负面,2023-04-18 09:00:00+08:00,601668.SH
15,负面,2023-04-18 09:00:00+08:00,601668.SH
16,负面,2023-04-18 09:00:00+08:00,601668.SH
17,负面,2023-04-18 09:00:00+08:00,601668.SH
18,负面,2023-04-18 09:00:00+08:00,601668.SH
19,负面,2023-04-18 09:00:00+08:00,601668.SH
20,正面,2023-04-18 09:00:00+08:00,600887.SH
21,负面,2023-04-18 09:00:00+08:00,601668.SH
22,负面,2023-04-18 09:00:00+08:00,601668.SH
23,负面,2023-04-18 09:00:00+08:00,601668.SH
24,负面,2023-04-18 09:00:00+08:00,601668.SH
25,负面,2023-04-18 09:00:00+08:00,601668.SH
26,负面,2023-04-18 09:00:00+08:00,601668.SH
27,负面,2023-04-18 09:00:00+08:00,601668.SH
28,负面,2023-04-18 09:00:00+08:00,601668.SH
29,负面,2023-04-18 09:00:00+08:00,601668.SH
30,负面,2023-04-18 09:00:00+08:00,601668.SH
31,极度正面,2023-04-19 09:00:00+08:00,600050.SH
32,正面,2023-04-19 09:00:00+08:00,600887.SH
33,极度正面,2023-04-19 09:00:00+08:00,600050.SH
34,正面,2023-04-19 09:00:00+08:00,601390.SH
35,极度正面,2023-04-19 09:00:00+08:00,600050.SH
36,极度负面,2023-04-20 09:00:00+08:00,600887.SH
37,极度负面,2023-04-20 09:00:00+08:00,600346.SH
38,中性,2023-04-21 09:00:00+08:00,600050.SH
39,极度负面,2023-04-21 09:00:00+08:00,600346.SH
40,极度负面,2023-04-25 09:00:00+08:00,600036.SH
41,负面,2023-04-25 09:00:00+08:00,600104.SH
42,极度负面,2023-04-25 09:00:00+08:00,600036.SH
43,极度负面,2023-04-25 09:00:00+08:00,600031.SH
44,正面,2023-04-25 09:00:00+08:00,601390.SH
45,极度负面,2023-04-25 09:00:00+08:00,600570.SH
46,正面,2023-04-25 09:00:00+08:00,601390.SH
47,极度负面,2023-04-25 09:00:00+08:00,600036.SH
48,正面,2023-04-25 09:00:00+08:00,601390.SH
49,极度负面,2023-04-25 09:00:00+08:00,600031.SH
50,极度负面,2023-04-25 09:00:00+08:00,600570.SH
51,极度负面,2023-04-25 09:00:00+08:00,600036.SH
52,极度负面,2023-04-25 09:00:00+08:00,600887.SH
53,极度负面,2023-04-25 09:00:00+08:00,600887.SH
54,极度负面,2023-04-25 09:00:00+08:00,603160.SH
55,极度负面,2023-04-25 09:00:00+08:00,600570.SH
56,极度负面,2023-04-25 09:00:00+08:00,600036.SH
57,正面,2023-04-26 09:00:00+08:00,600031.SH
58,负面,2023-04-26 09:00:00+08:00,600050.SH
59,正面,2023-04-26 09:00:00+08:00,600031.SH
60,极度负面,2023-04-27 09:00:00+08:00,603160.SH
61,极度负面,2023-04-27 09:00:00+08:00,603160.SH
62,极度负面,2023-04-27 09:00:00+08:00,603160.SH
63,极度负面,2023-04-27 09:00:00+08:00,603160.SH
64,极度负面,2023-04-27 09:00:00+08:00,603160.SH
65,极度负面,2023-04-27 09:00:00+08:00,603160.SH
66,极度负面,2023-04-27 09:00:00+08:00,603160.SH
67,极度负面,2023-04-27 09:00:00+08:00,603160.SH
68,极度负面,2023-04-27 09:00:00+08:00,603160.SH
69,极度负面,2023-04-27 09:00:00+08:00,603160.SH
